"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_ZN11TimeControlC2Eiiii,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11TimeControl13set_boardsizeEi,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11TimeControl5startEi,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11TimeControl4stopEi,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11TimeControl12time_forfeitEi,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11TimeControl13display_timesEv,0,0,0,0,0,16,0,0,0,0,16
function@_ZN11TimeControl17max_time_for_moveEi,0,0,0,0,0,5,0,0,0,0,1.90741
function@_ZN11TimeControl11adjust_timeEiii,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11TimeControl12get_maintimeEv,0,0,0,0,0,1,0,0,0,0,1
function@_ZN11TimeControl18get_remaining_timeEi,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9SGFParser14chop_from_fileENSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEi,3,5,0,2,5,8,24.2491,32.8198,16.4994,3.93742,47.4982
function@_ZN9SGFParser19parse_property_nameERNSt7__cxx1119basic_istringstreamIcSt11char_traitsIcESaIcEEE,6,2,0,4,1,5,77.7602,15.2536,47.2529,15.2536,46.7609
function@_ZN9SGFParser20parse_property_valueERNSt7__cxx1119basic_istringstreamIcSt11char_traitsIcESaIcEEERNS0_12basic_stringIcS3_S4_EE,5,1,0,4,1,5,36,8,24.25,8,33.754
function@_ZN9SGFParser5parseERNSt7__cxx1119basic_istringstreamIcSt11char_traitsIcESaIcEEEP7SGFTree,3,1,0,3,2,25,64.4901,0.00400355,0.503113,0.378878,479.02
function@_ZN7SGFTreeC2ERKS_,0,4,0,2,0,10,0,3.62469,2,0,43.4868
function@_ZN7SGFTreeD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZNSt8auto_ptrI7SGFTreeED2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9SGFParser19count_games_in_fileENSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE,0,0,0,0,0,7,0,0,0,0,32.9697
function@_ZN7KoStateC2ERKS_,7,3,0,4,5,11,5.99656,0.00149831,3.62273,4.62367,4.87466
function@_ZNSt6vectorI7SGFTreeSaIS0_EED2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN7KoStateD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZSt16__do_uninit_copyIN9__gnu_cxx17__normal_iteratorIPK7SGFTreeSt6vectorIS2_SaIS2_EEEEPS2_ET0_T_SB_SA_,10,10,0,7,2,15,170.807,155.95,119.832,39.6064,843.507
function@_ZSt8_DestroyI7SGFTreeEvPT_,0,0,0,0,0,0,0,0,0,0,0
function@_ZNSt8_Rb_treeINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESt4pairIKS5_S5_ESt10_Select1stIS8_ESt4lessIS5_ESaIS8_EE7_M_copyILb0ENSE_11_Alloc_nodeEEEPSt13_Rb_tree_nodeIS8_ESJ_PSt18_Rb_tree_node_baseRT0_,10,0,0,1,0,8,6.87498,0,1,0,59.9953
function@_ZNSt8_Rb_treeINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESt4pairIKS5_S5_ESt10_Select1stIS8_ESt4lessIS5_ESaIS8_EE8_M_eraseEPSt13_Rb_tree_nodeIS8_E,0,0,0,0,0,1,0,0,0,0,21.25
function@_ZNSt4pairIKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES5_EC2ERKS7_,4,3,0,3,0,9,2.83333,0.833334,2.5,0,6.33333
function@_ZN4Time8timediffES_S_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN4TimeC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN7UCTNodeC2Eii,0,0,0,0,0,0,0,0,0,0,0
function@_ZN7UCTNodeD2Ev,0,0,0,0,0,1,0,0,0,0,20
function@_ZN7UCTNode9get_mutexEv,0,0,0,0,0,0,0,0,0,0,0
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK7UCTNode11first_visitEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN7UCTNode10link_childEPS_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN7UCTNode15create_childrenER9FastStateb,43,17,0,15,22,14,6.23752,6.39783,1.99946,3.40864,16.2986
function@_ZNK7UCTNode12has_childrenEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN7UCTNode10set_extendEi,0,0,0,0,0,0,0,0,0,0,0
function@_ZN7UCTNode13kill_superkosER7KoState,1,0,0,1,0,8,6.2497,0,0.625,0,109.737
function@_ZNK7UCTNode8get_moveEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN7KoStateC2ERKS_,7,3,0,4,5,11,5.99656,0.00149831,3.62273,4.62367,4.87466
function@_ZN7UCTNode12delete_childEPS_,0,0,0,0,0,2,0,0,0,0,10.1587
function@_ZN7KoStateD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN7UCTNode8set_moveEi,0,0,0,0,0,0,0,0,0,0,0
function@_ZN7UCTNode6updateER7Playouti,0,0,0,0,0,1,0,0,0,0,9.53673e-07
function@_ZNK7UCTNode13get_blackwinsEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN7UCTNode10set_visitsEi,0,0,0,0,0,0,0,0,0,0,0
function@_ZN7UCTNode13set_blackwinsEi,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK7UCTNode11get_winrateEi,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK7UCTNode10get_visitsEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK7UCTNode12get_raverateEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK7UCTNode14get_ravevisitsEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK7UCTNode9do_extendEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN7UCTNode16uct_select_childEi,3,1,0,2,3,5,2.25926,0.62963,1.25926,1.62963,1.94444
function@_ZN7UCTNode5validEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN7UCTNode13sort_childrenEi,48,19,0,16,11,19,210.621,115.623,109.06,24.4996,63.124
function@_ZN7UCTNode15get_first_childEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN7UCTNode11get_siblingEv,0,0,0,0,0,0,0,0,0,0,0
