"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@vprintf,0,0,0,0,0,0,0,0,0,0,0
function@getchar,0,0,0,0,0,0,0,0,0,0,0
function@fgetc_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@getc_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@getchar_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@putchar,0,0,0,0,0,0,0,0,0,0,0
function@fputc_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@putc_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@putchar_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@getline,0,0,0,0,0,0,0,0,0,0,0
function@feof_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@ferror_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@xstrndup,0,0,0,0,0,4,0,0,0,0,4
function@vprintf,0,0,0,0,0,0,0,0,0,0,0
function@getchar,0,0,0,0,0,0,0,0,0,0,0
function@fgetc_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@getc_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@getchar_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@putchar,0,0,0,0,0,0,0,0,0,0,0
function@fputc_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@putc_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@putchar_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@getline,0,0,0,0,0,0,0,0,0,0,0
function@feof_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@ferror_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@tolower,0,0,0,0,0,1,0,0,0,0,1
function@toupper,0,0,0,0,0,1,0,0,0,0,1
function@atoi,0,0,0,0,0,0,0,0,0,0,0
function@atol,0,0,0,0,0,0,0,0,0,0,0
function@atoll,0,0,0,0,0,0,0,0,0,0,0
function@bsearch,3,0,0,3,0,8,19.9524,0,37.8571,0,56.6667
function@atof,0,0,0,0,0,0,0,0,0,0,0
function@fake_ngettext,0,0,0,0,0,0,0,0,0,0,0
function@get_spaces,0,0,0,0,0,4,0,0,0,0,4
function@vprintf,0,0,0,0,0,0,0,0,0,0,0
function@getchar,0,0,0,0,0,0,0,0,0,0,0
function@fgetc_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@getc_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@getchar_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@putchar,0,0,0,0,0,0,0,0,0,0,0
function@fputc_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@putc_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@putchar_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@getline,0,0,0,0,0,0,0,0,0,0,0
function@feof_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@ferror_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@tolower,0,0,0,0,0,1,0,0,0,0,1
function@toupper,0,0,0,0,0,1,0,0,0,0,1
function@atoi,0,0,0,0,0,0,0,0,0,0,0
function@atol,0,0,0,0,0,0,0,0,0,0,0
function@atoll,0,0,0,0,0,0,0,0,0,0,0
function@bsearch,3,0,0,3,0,8,19.9524,0,37.8571,0,56.6667
function@atof,0,0,0,0,0,0,0,0,0,0,0
function@reset_inline_failed,0,0,0,0,0,0,0,0,0,0,0
function@compute_call_stmt_bb_frequency,0,0,0,0,0,1,0,0,0,0,0.619048
function@build_cgraph_edges,9,10,0,8,0,5,562.297,655.895,73.8799,0,285.884
function@record_reference,0,0,0,0,0,0,0,0,0,0,0
function@record_references_in_initializer,0,0,0,0,0,1,0,0,0,0,1
function@rebuild_cgraph_edges,3,2,0,4,0,2,17.1667,26,30.1667,0,9.08333
function@remove_cgraph_callee_edges,0,0,0,0,0,0,0,0,0,0,0
function@vprintf,0,0,0,0,0,0,0,0,0,0,0
function@getchar,0,0,0,0,0,0,0,0,0,0,0
function@fgetc_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@getc_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@getchar_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@putchar,0,0,0,0,0,0,0,0,0,0,0
function@fputc_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@putc_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@putchar_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@getline,0,0,0,0,0,0,0,0,0,0,0
function@feof_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@ferror_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@tolower,0,0,0,0,0,1,0,0,0,0,1
function@toupper,0,0,0,0,0,1,0,0,0,0,1
function@atoi,0,0,0,0,0,0,0,0,0,0,0
function@atol,0,0,0,0,0,0,0,0,0,0,0
function@atoll,0,0,0,0,0,0,0,0,0,0,0
function@bsearch,3,0,0,3,0,8,19.9524,0,37.8571,0,56.6667
function@atof,0,0,0,0,0,0,0,0,0,0,0
function@gcov_open,0,0,0,0,0,1,0,0,0,0,1
function@gcov_close,0,0,0,0,0,0,0,0,0,0,0
function@gcov_magic,0,0,0,0,0,0,0,0,0,0,0
function@gcov_write_unsigned,0,0,0,0,0,3,0,0,0,0,2
function@gcov_write_string,3,0,0,2,1,3,1.42857,0,1.09524,0.380952,1.95238
function@gcov_write_tag,1,0,0,1,0,5,0.5,0,0.5,0,4
function@gcov_write_length,0,0,0,0,0,0,0,0,0,0,0
function@gcov_read_unsigned,0,0,0,0,0,1,0,0,0,0,0.619048
function@gcov_read_words,0,0,0,0,0,5,0,0,0,0,2.48387
function@gcov_read_counter,0,0,0,0,0,2,0,0,0,0,1.2381
function@gcov_read_string,0,0,0,0,0,1,0,0,0,0,0.6
function@gcov_read_summary,0,0,0,0,0,9,0,0,0,0,5.57143
function@gcov_sync,0,0,0,0,0,1,0,0,0,0,1
function@get_gcov_type,0,0,0,0,0,0,0,0,0,0,0
function@get_coverage_counts,0,0,0,0,0,6,0,0,0,0,2.85791
function@coverage_checksum_string,39,4,0,6,1,37,20.0001,11.1588,31.1588,0.31746,80.3268
function@coverage_counter_alloc,0,0,0,0,0,2,0,0,0,0,0.429688
function@tree_coverage_counter_ref,0,0,0,0,0,1,0,0,0,0,1
function@tree_coverage_counter_addr,0,0,0,0,0,1,0,0,0,0,1
function@coverage_begin_output,9,4,0,11,2,38,1.05371,1,1.86621,0.1875,5.30566
function@coverage_end_function,0,0,0,0,0,3,0,0,0,0,1.875
function@coverage_init,16,6,0,8,9,32,0.983952,0.489887,1.12003,0.836674,12.3527
function@htab_counts_entry_hash,0,0,0,0,0,0,0,0,0,0,0
function@htab_counts_entry_eq,0,0,0,0,0,0,0,0,0,0,0
function@htab_counts_entry_del,0,0,0,0,0,0,0,0,0,0,0
function@coverage_finish,10,11,0,19,0,50,41.25,66.25,70.3906,0,141.982
function@vprintf,0,0,0,0,0,0,0,0,0,0,0
function@getchar,0,0,0,0,0,0,0,0,0,0,0
function@fgetc_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@getc_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@getchar_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@putchar,0,0,0,0,0,0,0,0,0,0,0
function@fputc_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@putc_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@putchar_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@getline,0,0,0,0,0,0,0,0,0,0,0
function@feof_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@ferror_unlocked,0,0,0,0,0,0,0,0,0,0,0
function@tolower,0,0,0,0,0,1,0,0,0,0,1
function@toupper,0,0,0,0,0,1,0,0,0,0,1
function@atoi,0,0,0,0,0,0,0,0,0,0,0
function@atol,0,0,0,0,0,0,0,0,0,0,0
function@atoll,0,0,0,0,0,0,0,0,0,0,0
function@bsearch,3,0,0,3,0,8,19.9524,0,37.8571,0,56.6667
function@atof,0,0,0,0,0,0,0,0,0,0,0
function@mark_addressable,0,0,0,0,0,0,0,0,0,0,0
function@push_gimplify_context,0,0,0,0,0,0,0,0,0,0,0
function@pop_gimplify_context,0,0,0,0,0,1,0,0,0,0,0.384615
function@declare_vars,0,0,0,0,0,1,0,0,0,0,0.62069
function@gimple_current_bind_expr,0,0,0,0,0,0,0,0,0,0,0
function@gimple_bind_expr_stack,0,0,0,0,0,0,0,0,0,0,0
function@append_to_statement_list,0,0,0,0,0,0,0,0,0,0,0
function@append_to_statement_list_force,0,0,0,0,0,0,0,0,0,0,0
function@gimplify_and_add,0,0,0,0,0,0,0,0,0,0,0
function@gimplify_stmt,0,0,0,0,0,0,0,0,0,0,0
function@create_tmp_var_name,0,0,0,0,0,5,0,0,0,0,3.25038
function@create_tmp_var_raw,0,0,0,0,0,0,0,0,0,0,0
function@create_tmp_var,0,0,0,0,0,2,0,0,0,0,2
function@gimple_add_tmp_var,0,0,0,0,0,4,0,0,0,0,1.08242
function@get_formal_tmp_var,0,0,0,0,0,0,0,0,0,0,0
function@internal_get_tmp_var,4,0,0,1,0,8,1,0,1,0,4.8125
function@gimplify_expr,182,88,0,63,31,274,15.6757,14.1744,11.5332,3.76572,33.7122
function@is_gimple_reg_rhs_or_call,0,0,0,0,0,0,0,0,0,0,0
function@unshare_expr,0,0,0,0,0,0,0,0,0,0,0
function@gimple_tree_hash,0,0,0,0,0,0,0,0,0,0,0
function@gimple_tree_eq,0,0,0,0,0,2,0,0,0,0,1.08242
function@get_initialized_tmp_var,0,0,0,0,0,0,0,0,0,0,0
function@omp_add_variable,5,0,0,2,0,16,0.113019,0,0.0658083,0,3.33619
function@omp_firstprivatize_variable,0,0,0,0,0,2,0,0,0,0,2.96
function@omp_firstprivatize_type_sizes,1,0,0,1,0,19,0.46771,0,0.0273973,0,4.75342
function@omp_notice_variable,0,0,0,0,0,19,0,0,0,0,2.8438
function@annotate_all_with_location,0,0,0,0,0,0,0,0,0,0,0
function@mostly_copy_tree_r,0,0,0,0,0,0,0,0,0,0,0
